Time [s of week]         phi [°]      lambda [°]     h [m]
       221000.0  46.97941679167  15.42819870833    381.641
       221001.0  46.97942001667  15.42819977778    380.941
       221002.0  46.97941892778  15.42820595278    381.082
       221003.0  46.97942034444  15.42820038333    381.136
       221004.0  46.97942041111  15.42820519444    382.029
       221005.0  46.97941930556  15.42820025000    381.946
       221006.0  46.97942111389  15.42820250833    381.788
       221007.0  46.97942045556  15.42820579444    382.034
       221008.0  46.97942025833  15.42820858889    382.326
       221009.0  46.97941560556  15.42820579444    382.351
       221010.0  46.97941621667  15.42820655556    383.058
       221011.0  46.97941726667  15.42820457222    382.924
       221012.0  46.97941902222  15.42820440556    382.305
       221013.0  46.97941896111  15.42820305278    382.566
       221014.0  46.97942048889  15.42820339722    382.970
       221015.0  46.97941981111  15.42820458889    383.358
       221016.0  46.97942291111  15.42820364722    382.635
       221017.0  46.97942276944  15.42820592778    381.693
       221018.0  46.97942065278  15.42820442222    381.703
       221019.0  46.97942070556  15.42820496944    381.510
       221020.0  46.97942245833  15.42820736944    381.289
       221021.0  46.97942575556  15.42820652500    381.420
       221022.0  46.97942170556  15.42821196944    381.848
       221023.0  46.97941945556  15.42820892500    382.235
       221024.0  46.97941885278  15.42820369444    382.590
       221025.0  46.97942285278  15.42820573333    382.564
       221026.0  46.97941992222  15.42821175000    382.449
       221027.0  46.97942042222  15.42820689167    382.831
       221028.0  46.97941961944  15.42820539167    382.128
       221029.0  46.97941885556  15.42820252222    381.842
       221030.0  46.97941812222  15.42820596111    382.030
       221031.0  46.97941874444  15.42820626111    382.429
       221032.0  46.97942090556  15.42820576389    381.842
       221033.0  46.97942365278  15.42820909167    381.168
       221034.0  46.97941941111  15.42820466111    381.583
       221035.0  46.97941946111  15.42820728333    382.261
       221036.0  46.97941915000  15.42820479722    381.988
       221037.0  46.97942327500  15.42820676389    382.068
       221038.0  46.97942073889  15.42820925000    381.985
       221039.0  46.97941558611  15.42820560000    382.364
       221040.0  46.97941500000  15.42820163333    382.579
